a	あ
dho	でょ
dwa	どぁ
dwi	どぃ
dwu	どぅ
dwe	どぇ
dwo	どぉ
na	な
ni	に
nu	ぬ
ne	ね
no	の
nya	にゃ
nyi	にぃ
nyu	にゅ
nye	にぇ
nyo	にょ
ha	は
hi	ひ
hu	ふ
fu	ふ
he	へ
ho	ほ
ba	ば
bi	び
bu	ぶ
be	べ
bo	ぼ
pa	ぱ
pi	ぴ
pu	ぷ
pe	ぺ
po	ぽ
hya	ひゃ
hyi	ひぃ
hyu	ひゅ
hye	ひぇ
hyo	ひょ
fya	ふゃ
fyu	ふゅ
fyo	ふょ
fwa	ふぁ
fa	ふぁ
fwi	ふぃ
fi	ふぃ
fyi	ふぃ
fwu	ふぅ
fwe	ふぇ
fe	ふぇ
fye	ふぇ
fwo	ふぉ
fo	ふぉ
bya	びゃ
byi	びぃ
byu	びゅ
bye	びぇ
byo	びょ
va	ヴぁ
vi	ヴぃ
vu	ヴ
ve	ヴぇ
vo	ヴぉ
vya	ヴゃ
vyi	ヴぃ
vyu	ヴゅ
vye	ヴぇ
vyo	ヴょ
va	う゛ぁ
vi	う゛ぃ
vu	う゛
ve	う゛ぇ
vo	う゛ぉ
vya	う゛ゃ
vyi	う゛ぃ
vyu	う゛ゅ
vye	う゛ぇ
vyo	う゛ょ
ma	ま
mi	み
mu	む
me	め
mo	も
mya	みゃ
myi	みぃ
myu	みゅ
mye	みぇ
myo	みょ
ya	や
yu	ゆ
yo	よ
lya	ゃ
xya	ゃ
lyu	ゅ
xyu	ゅ
lyo	ょ
xyo	ょ
ra	ら
ri	り
ru	る
re	れ
ro	ろ
rya	りゃ
ryi	りぃ
ryu	りゅ
rye	りぇ
ryo	りょ
wa	わ
wi	ゐ
whi	ゐ
we	ゑ
whe	ゑ
wo	を
nn	ん
n'	ん
xn	ん
lwa	ゎ
xwa	ゎ
yyi	っい
wwu	っう
wwhu	っう
lla	っぁ
xxa	っぁ
lli	っぃ
xxi	っぃ
llyi	っぃ
xxyi	っぃ
llu	っぅ
xxu	っぅ
lle	っぇ
xxe	っぇ
llye	っぇ
xxye	っぇ
llo	っぉ
xxo	っぉ
yye	っいぇ
wwha	っわ
wwhi	っうぃ
wwi	っうぃ
wwhe	っうぇ
wwe	っうぇ
wwho	っうぉ
kka	っか
cca	っか
kki	っき
kku	っく
ccu	っく
qqu	っく
kke	っけ
kko	っこ
cco	っこ
llka	っヵ
xxka	っヵ
llke	っヶ
xxke	っヶ
gga	っが
ggi	っぎ
ggu	っぐ
gge	っげ
ggo	っご
kkya	っきゃ
kkyi	っきぃ
kkyu	っきゅ
kkye	っきぇ
kkyo	っきょ
qqya	っくゃ
qqyu	っくゅ
qqyo	っくょ
qqwa	っくぁ
qqa	っくぁ
kkwa	っくぁ
qqwi	っくぃ
qqi	っくぃ
qqyi	っくぃ
qqwu	っくぅ
qqwe	っくぇ
qqe	っくぇ
qqye	っくぇ
qqwo	っくぉ
qqo	っくぉ
ggya	っぎゃ
ggyi	っぎぃ
ggyu	っぎゅ
ggye	っぎぇ
ggyo	っぎょ
ggwa	っぐぁ
ggwi	っぐぃ
ggwu	っぐぅ
ggwe	っぐぇ
ggwo	っぐぉ
ssa	っさ
ssi	っし
cci	っし
sshi	っし
ssu	っす
sse	っせ
cce	っせ
sso	っそ
zza	っざ
zzi	っじ
jji	っじ
zzu	っず
zze	っぜ
zzo	っぞ
ssya	っしゃ
ssha	っしゃ
ssyi	っしぃ
ssyu	っしゅ
sshu	っしゅ
ssye	っしぇ
sshe	っしぇ
ssyo	っしょ
ssho	っしょ
sswa	っすぁ
sswi	っすぃ
sswu	っすぅ
sswe	っすぇ
sswo	っすぉ
zzya	っじゃ
jja	っじゃ
jjya	っじゃ
zzyi	っじぃ
jjyi	っじぃ
zzyu	っじゅ
jju	っじゅ
jjyu	っじゅ
zzye	っじぇ
jje	っじぇ
jjye	っじぇ
zzyo	っじょ
jjo	っじょ
jjyo	っじょ
tta	った
tti	っち
tchi	っち
cchi	っち
ttu	っつ
ttsu	っつ
tte	って
tto	っと
lltu	っっ
xxtu	っっ
dda	っだ
ddi	っぢ
ddu	っづ
dde	っで
ddo	っど
ttya	っちゃ
ccha	っちゃ
ccya	っちゃ
tcha	っちゃ
ttyi	っちぃ
ccyi	っちぃ
ttyu	っちゅ
cchu	っちゅ
ccyu	っちゅ
tchu	っちゅ
ttye	っちぇ
cche	っちぇ
ccye	っちぇ
tche	っちぇ
ttyo	っちょ
ccho	っちょ
ccyo	っちょ
tcho	っちょ
ttsa	っつぁ
ttsi	っつぃ
ttse	っつぇ
ttso	っつぉ
ttha	ってゃ
tthi	ってぃ
tthu	ってゅ
tthe	ってぇ
ttho	ってょ
ttwa	っとぁ
ttwi	っとぃ
ttwu	っとぅ
ttwe	っとぇ
ttwo	っとぉ
ddya	っぢゃ
ddyi	っぢぃ
ddyu	っぢゅ
ddye	っぢぇ
ddyo	っぢょ
ddha	っでゃ
ddhi	っでぃ
ddhu	っでゅ
ddhe	っでぇ
ddho	っでょ
ddwa	っどぁ
ddwi	っどぃ
ddwu	っどぅ
ddwe	っどぇ
ddwo	っどぉ
hha	っは
hhi	っひ
hhu	っふ
ffu	っふ
hhe	っへ
hho	っほ
bba	っば
bbi	っび
bbu	っぶ
bbe	っべ
bbo	っぼ
ppa	っぱ
ppi	っぴ
ppu	っぷ
ppe	っぺ
ppo	っぽ
hhya	っひゃ
hhyi	っひぃ
hhyu	っひゅ
hhye	っひぇ
hhyo	っひょ
ffya	っふゃ
ffyu	っふゅ
ffyo	っふょ
ffwa	っふぁ
ffa	っふぁ
ffwi	っふぃ
ffi	っふぃ
ffyi	っふぃ
ffwu	っふぅ
ffwe	っふぇ
ffe	っふぇ
ffye	っふぇ
ffwo	っふぉ
ffo	っふぉ
bbya	っびゃ
bbyi	っびぃ
bbyu	っびゅ
bbye	っびぇ
bbyo	っびょ
vva	っヴぁ
vvi	っヴぃ
vvu	っヴ
vve	っヴぇ
vvo	っヴぉ
vvya	っヴゃ
vvyi	っヴぃ
vvyu	っヴゅ
vvye	っヴぇ
vvyo	っヴょ
vva	っう゛ぁ
vvi	っう゛ぃ
vvu	っう゛
vve	っう゛ぇ
vvo	っう゛ぉ
vvya	っう゛ゃ
vvyi	っう゛ぃ
vvyu	っう゛ゅ
vvye	っう゛ぇ
vvyo	っう゛ょ
mma	っま
mmi	っみ
mmu	っむ
mme	っめ
mmo	っも
mmya	っみゃ
mmyi	っみぃ
mmyu	っみゅ
mmye	っみぇ
mmyo	っみょ
yya	っや
yyu	っゆ
nb	ん	b
nc	ん	c
nd	ん	d
nf	ん	f
ng	ん	g
nh	ん	h
nj	ん	j
nk	ん	k
nl	ん	l
nm	ん	m
np	ん	p
nq	ん	q
nr	ん	r
ns	ん	s
nt	ん	t
nv	ん	v
nw	ん	w
nx	ん	x
nz	ん	z
n1	ん	1
n2	ん	2
n3	ん	3
n4	ん	4
n5	ん	5
n6	ん	6
n7	ん	7
n8	ん	8
n9	ん	9
n0	ん	0
n-	ん	-
n^	ん	^
n!	ん	!
n"	ん	"
n#	ん	#
n$	ん	$
n%	ん	%
n&	ん	&
n(	ん	(
n)	ん	)
n=	ん	=
n~	ん	~
n|	ん	|
n@	ん	@
n[	ん	[
n`	ん	`
n{	ん	{
n;	ん	;
n:	ん	:
n]	ん	]
n+	ん	+
n*	ん	*
n}	ん	}
n,	ん	,
n.	ん	.
n/	ん	/
n\	ん	\
n<	ん	<
n>	ん	>
n?	ん	?
n_	ん	_
n@	ん	゛
n[	ん	゜
a	a
b	b
c	c
d	d
e	e
f	f
g	g
h	h
i	i
j	j
k	k
l	l
m	m
n	n
o	o
p	p
q	q
r	r
s	s
t	t
u	u
v	v
w	w
x	x
y	y
z	z
A	A
B	B
C	C
D	D
E	E
F	F
G	G
H	H
I	I
J	J
K	K
L	L
M	M
N	N
O	O
P	P
Q	Q
R	R
S	S
T	T
U	U
V	V
W	W
X	X
Y	Y
Z	Z
1	1
2	2
3	3
4	4
5	5
6	6
7	7
8	8
9	9
0	0
-	-
^	^
!	!
"	"
#	#
$	$
%	%
&	&
'	'
(	(
)	)
=	=
~	~
|	|
@	@
[	[
`	`
{	{
;	;
:	:
]	]
+	+
*	*
}	}
,	,
.	.
/	/
\	\
<	<
>	>
?	?
_	_
A	Ａ
B	Ｂ
C	Ｃ
D	Ｄ
E	Ｅ
F	Ｆ
G	Ｇ
H	Ｈ
I	Ｉ
J	Ｊ
K	Ｋ
L	Ｌ
M	Ｍ
N	Ｎ
O	Ｏ
P	Ｐ
Q	Ｑ
R	Ｒ
S	Ｓ
T	Ｔ
U	Ｕ
V	Ｖ
W	Ｗ
X	Ｘ
Y	Ｙ
Z	Ｚ
a	ａ
b	ｂ
c	ｃ
d	ｄ
e	ｅ
f	ｆ
g	ｇ
h	ｈ
i	ｉ
j	ｊ
k	ｋ
l	ｌ
m	ｍ
n	ｎ
o	ｏ
p	ｐ
q	ｑ
r	ｒ
s	ｓ
t	ｔ
u	ｕ
v	ｖ
w	ｗ
x	ｘ
y	ｙ
z	ｚ
1	１
2	２
3	３
4	４
5	５
6	６
7	７
8	８
9	９
0	０
^	＾
!	！
"	”
#	＃
$	＄
%	％
&	＆
'	’
(	（
)	）
=	＝
~	～
|	｜
@	＠
[	「
`	‘
{	｛
;	；
:	：
]	」
+	＋
*	＊
}	｝
,	、
,	，
.	。
.	．
/	・
\	￥
\	＼
<	＜
>	＞
?	？
_	＿
///	…
-	－
-	―
-	ー
[	［
]	］
,	，
.	．
/	／
@	゛
[	゜
[	『
]	』
*	☆
*	※
*	×
and	&
and	＆
A	Α
B	Β
G	Γ
D	Δ
E	Ε
Z	Ζ
E	Η
H	Η
TH	Θ
U	Θ
I	Ι
K	Κ
L	Λ
M	Μ
N	Ν
KS	Ξ
X	Ξ
J	Ξ
O	Ο
P	Π
R	Ρ
S	Σ
T	Τ
U	Υ
Y	Υ
PH	Φ
F	Φ
KH	Χ
CH	Χ
X	Χ
PS	Ψ
C	Ψ
O	Ω
V	Ω
a	α
b	β
g	γ
d	δ
e	ε
z	ζ
e	η
h	η
th	θ
u	θ
i	ι
k	κ
l	λ
m	μ
n	ν
ks	ξ
x	ξ
j	ξ
o	ο
p	π
r	ρ
s	σ
t	τ
u	υ
y	υ
ph	φ
f	φ
kh	χ
ch	χ
x	χ
ps	ψ
c	ψ
o	ω
v	ω
